Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,162.117996,167.513000,161.751495,167.143997,167.143997,83204000
2021-02-02,169.000000,171.386993,168.056503,169.000000,169.000000,141972000
2021-02-03,171.250504,171.699997,165.431000,165.626495,165.626495,141776000
2021-02-04,166.500000,167.350006,163.887497,166.550003,166.550003,73414000
2021-02-05,165.949997,168.850006,165.135498,167.607498,167.607498,72416000
2021-02-08,167.925003,168.250000,165.199997,166.147003,166.147003,65148000
2021-02-09,165.624496,166.899994,164.891998,165.250000,165.250000,44070000
2021-02-10,165.699997,165.897507,162.699997,164.328995,164.328995,63032000
2021-02-11,164.600006,164.600006,162.403000,163.106506,163.106506,46028000
2021-02-12,162.500000,164.012497,161.665497,163.885498,163.885498,46706000
2021-02-16,162.702499,165.414993,162.679504,163.447495,163.447495,51494000
2021-02-17,163.179993,166.045502,162.975006,165.432007,165.432007,65950000
2021-02-18,164.121002,166.899994,163.697006,166.411499,166.411499,60548000
2021-02-19,166.411499,166.675003,162.287506,162.494995,162.494995,86104000
2021-02-22,160.406494,161.615997,158.613007,159.037003,159.037003,70314000
2021-02-23,156.351501,160.236496,154.679993,159.725006,159.725006,93544000
2021-02-24,158.337494,158.561493,156.268997,157.976501,157.976501,60226000
2021-02-25,156.837006,158.912994,152.388000,152.858002,152.858002,90676000
2021-02-26,154.759995,156.121994,151.835007,154.646500,154.646500,85518000
2021-03-01,156.394501,157.477997,154.899506,157.307007,157.307007,54582000
2021-03-02,157.173492,158.175995,154.356003,154.726501,154.726501,51916000
2021-03-03,154.059006,155.389008,149.750000,150.250000,150.250000,79774000
2021-03-04,150.600006,152.906494,147.271500,148.878494,148.878494,109632000
2021-03-05,150.250000,150.449997,144.050003,150.022995,150.022995,107772000
2021-03-08,150.750000,153.229507,147.565506,147.597504,147.597504,83700000
2021-03-09,150.899506,154.548004,150.257507,153.142502,153.142502,80600000
2021-03-10,154.922501,155.822998,151.502502,152.882004,152.882004,60250000
2021-03-11,155.200500,156.589005,154.146500,155.679504,155.679504,55528000
2021-03-12,153.750000,154.949005,152.274994,154.474503,154.474503,48438000
2021-03-15,153.728500,154.112000,151.604507,154.084000,154.084000,58272000
2021-03-16,155.248505,156.445496,153.792999,154.593002,154.593002,50776000
2021-03-17,153.660995,158.652496,153.511002,156.786499,156.786499,62372000
2021-03-18,155.050003,155.831497,151.250000,151.399506,151.399506,72992000
2021-03-19,151.461502,153.864502,150.831497,153.748001,153.748001,92508000
2021-03-22,153.392502,156.328995,153.002502,155.543503,155.543503,58044000
2021-03-23,156.350006,159.100006,156.042496,156.875000,156.875000,76346000
2021-03-24,157.552002,158.015503,154.257507,154.353500,154.353500,59180000
2021-03-25,153.649506,155.488998,151.856995,152.313004,152.313004,71270000
2021-03-26,152.203003,152.832993,149.800003,152.601501,152.601501,66258000
2021-03-29,152.772003,154.562500,151.422501,153.786499,153.786499,54920000
2021-03-30,153.500504,153.649994,151.699997,152.764496,152.764496,46752000
2021-03-31,153.203003,155.966507,153.125000,154.703995,154.703995,61878000
2021-04-01,155.897003,158.121994,155.777496,158.050003,158.050003,58806000
2021-04-05,158.649994,161.798004,158.061996,161.336502,161.336502,66698000
2021-04-06,161.187500,162.365494,160.852005,161.190994,161.190994,50756000
